S.No,timestamp,No_of_availability
3156,2016-07-04 07:30:02,4425
3157,2016-07-04 07:45:03,4255
3158,2016-07-04 08:00:02,4105
3159,2016-07-04 08:15:02,3897
3160,2016-07-04 08:30:02,3695
3161,2016-07-04 08:45:03,3500
3162,2016-07-04 09:00:02,3296
3163,2016-07-04 09:15:02,3105
3164,2016-07-04 09:30:02,2920
3165,2016-07-04 09:45:03,2755
3166,2016-07-04 10:00:03,2575
3167,2016-07-04 10:15:03,2406
3168,2016-07-04 10:30:02,2221
3169,2016-07-04 10:45:02,2029
3170,2016-07-04 11:00:04,1889
3171,2016-07-04 11:15:03,1697
3172,2016-07-04 11:30:03,1562
3173,2016-07-04 11:45:03,1452
3174,2016-07-04 12:00:03,1354
3175,2016-07-04 12:15:02,1212
3176,2016-07-04 12:30:03,1085
3177,2016-07-04 12:45:03,0959
3178,2016-07-04 13:00:02,0832
3179,2016-07-04 13:15:02,0725
3180,2016-07-04 13:30:02,0683
3181,2016-07-04 13:45:02,0679
3182,2016-07-04 14:00:03,0693
3183,2016-07-04 14:15:02,0706
3184,2016-07-04 14:30:03,0661
3185,2016-07-04 14:45:03,0644
3186,2016-07-04 15:00:36,0627
3187,2016-07-04 15:15:03,0614
3188,2016-07-04 15:30:03,0642
3189,2016-07-04 15:45:04,0670
3190,2016-07-04 16:00:03,0767
3191,2016-07-04 16:15:03,0925
3192,2016-07-04 16:30:03,1119
3193,2016-07-04 16:45:03,1341
3194,2016-07-04 17:00:03,1532
3195,2016-07-04 17:15:02,1657
3196,2016-07-04 17:30:02,1748
3197,2016-07-04 17:45:03,1870
3198,2016-07-04 18:00:03,2013
3199,2016-07-04 18:15:02,2121
3200,2016-07-04 18:30:02,2173
3201,2016-07-04 18:45:02,2203
3202,2016-07-04 19:00:02,2307
3203,2016-07-04 19:15:02,2308
3204,2016-07-04 19:30:02,2337
3205,2016-07-04 19:45:02,2370
3206,2016-07-04 20:00:02,2437
3207,2016-07-04 20:15:02,2513
3208,2016-07-04 20:30:02,2564
3209,2016-07-04 20:45:02,2633
3210,2016-07-04 21:00:02,2755
3211,2016-07-04 21:15:03,2902
3212,2016-07-04 21:30:03,3109
3213,2016-07-04 21:45:03,3356
3214,2016-07-04 22:00:03,3659
3215,2016-07-04 22:15:03,4107
3216,2016-07-04 22:30:03,4477
3217,2016-07-04 22:45:02,4589
3218,2016-07-04 23:00:03,4669
3219,2016-07-04 23:15:03,4694
3220,2016-07-04 23:30:03,4728
3221,2016-07-04 23:45:02,4749
3222,2016-07-05 00:00:02,4768
3223,2016-07-05 00:15:02,4772
3224,2016-07-05 00:30:02,4770
3225,2016-07-05 00:45:02,4776
3226,2016-07-05 01:00:02,4776
3227,2016-07-05 01:15:02,4777
3228,2016-07-05 01:30:03,4777
3229,2016-07-05 01:45:02,4780
3230,2016-07-05 02:00:02,4778
3231,2016-07-05 02:15:03,4778
3232,2016-07-05 02:30:02,4778
3233,2016-07-05 02:45:02,4778
3234,2016-07-05 03:00:03,4778
3235,2016-07-05 03:15:03,4777
3236,2016-07-05 03:30:03,4775
3237,2016-07-05 03:45:02,4775
3238,2016-07-05 04:00:02,4775
3239,2016-07-05 04:15:02,4775
3240,2016-07-05 04:30:02,4776
3241,2016-07-05 04:45:02,4776
3242,2016-07-05 05:00:02,4776
3243,2016-07-05 05:15:02,4776
3244,2016-07-05 05:30:03,4776
3245,2016-07-05 05:45:03,4776
3246,2016-07-05 06:00:03,4772
3247,2016-07-05 06:15:02,4766
3248,2016-07-05 06:30:03,4742
3249,2016-07-05 06:45:03,4714
3250,2016-07-05 07:00:02,4659
3251,2016-07-05 07:15:03,4584
3252,2016-07-05 07:30:02,4491
3253,2016-07-05 07:45:02,4378
3254,2016-07-05 08:00:02,4253
3255,2016-07-05 08:15:03,4094
3256,2016-07-05 08:30:03,3930
3257,2016-07-05 08:45:02,3760
3258,2016-07-05 09:00:02,3599
3259,2016-07-05 09:15:03,3444
3260,2016-07-05 09:30:03,3284
3261,2016-07-05 09:45:03,3128
3262,2016-07-05 10:00:03,2961
3263,2016-07-05 10:15:05,2782
3264,2016-07-05 10:30:04,2605
3265,2016-07-05 10:45:04,2419
3266,2016-07-05 11:00:02,2319
3267,2016-07-05 11:15:03,2180
3268,2016-07-05 11:30:03,2084
3269,2016-07-05 11:45:05,1929
3270,2016-07-05 12:00:03,1790
3271,2016-07-05 12:15:02,1669
3272,2016-07-05 12:30:04,1567
3273,2016-07-05 12:45:03,1508
3274,2016-07-05 13:00:02,1444
3275,2016-07-05 13:15:03,1433
3276,2016-07-05 13:30:03,1422
3277,2016-07-05 13:45:02,1414
3278,2016-07-05 14:00:03,1451
3279,2016-07-05 14:15:03,1502
3280,2016-07-05 14:30:03,1546
3281,2016-07-05 14:45:04,1579
3282,2016-07-05 15:00:03,1583
3283,2016-07-05 15:15:04,1669
3284,2016-07-05 15:30:03,1741
3285,2016-07-05 15:45:02,1818
3286,2016-07-05 16:00:03,1868
3287,2016-07-05 16:15:03,1951
3288,2016-07-05 16:30:03,2060
3289,2016-07-05 16:45:03,2175
3290,2016-07-05 17:00:03,2271
3291,2016-07-05 17:15:03,2389
3292,2016-07-05 17:30:03,2477
3293,2016-07-05 17:45:03,2562
3294,2016-07-05 18:00:05,2649
3295,2016-07-05 18:15:02,2721
3296,2016-07-05 18:30:02,2783
3297,2016-07-05 18:45:02,2843
3298,2016-07-05 19:00:02,2878
3299,2016-07-05 19:15:02,2905
3300,2016-07-05 19:30:03,2930
3301,2016-07-05 19:45:03,2964
3302,2016-07-05 20:00:02,3000
3303,2016-07-05 20:15:02,3059
3304,2016-07-05 20:30:02,3136
3305,2016-07-05 20:45:02,3221
3306,2016-07-05 21:00:03,3281
3307,2016-07-05 21:15:03,3420
3308,2016-07-05 21:30:02,3571
3309,2016-07-05 21:45:02,3742
3310,2016-07-05 22:00:02,3936
3311,2016-07-05 22:15:02,4215
3312,2016-07-05 22:30:02,4417
3313,2016-07-05 22:45:02,4494
3314,2016-07-05 23:00:03,4501
3315,2016-07-05 23:15:02,4505
3316,2016-07-05 23:30:02,4505
3317,2016-07-05 23:45:02,4507
3318,2016-07-06 00:00:03,4509
3319,2016-07-06 00:15:03,4512
3320,2016-07-06 00:30:02,4513
3321,2016-07-06 00:45:02,4515
3322,2016-07-06 01:00:02,4516
3323,2016-07-06 01:15:03,4515
3324,2016-07-06 01:30:02,4514
3325,2016-07-06 01:45:02,4515
3326,2016-07-06 02:00:02,4520
3327,2016-07-06 02:15:03,4520
3328,2016-07-06 02:30:02,4520
3329,2016-07-06 02:45:02,4519
3330,2016-07-06 03:00:02,4519
3331,2016-07-06 03:15:02,4520
3332,2016-07-06 03:30:03,4520
3333,2016-07-06 03:45:03,4520
3334,2016-07-06 04:00:02,4520
3335,2016-07-06 04:15:02,4520
3336,2016-07-06 04:30:02,4520
3337,2016-07-06 04:45:02,4520
3338,2016-07-06 05:00:02,4520
3339,2016-07-06 05:15:03,4519
3340,2016-07-06 05:30:02,4519
3341,2016-07-06 05:45:03,4518
3342,2016-07-06 06:00:03,4518
3343,2016-07-06 06:15:02,4518
3344,2016-07-06 06:30:02,4515
3345,2016-07-06 06:45:02,4512
3346,2016-07-06 07:00:03,4511
3347,2016-07-06 07:15:03,4510
3348,2016-07-06 07:30:02,4508
3349,2016-07-06 07:45:02,4507
3350,2016-07-06 08:00:02,4502
3351,2016-07-06 08:15:02,4492
3352,2016-07-06 08:30:02,4473
3353,2016-07-06 08:45:02,4446
3354,2016-07-06 09:00:03,4417
3355,2016-07-06 09:15:03,4378
3356,2016-07-06 09:30:02,4296
3357,2016-07-06 09:45:02,4156
3358,2016-07-06 10:00:02,3932
3359,2016-07-06 10:15:02,3682
3360,2016-07-06 10:30:02,3381
3361,2016-07-06 10:45:02,3036
3362,2016-07-06 11:00:02,2598
3363,2016-07-06 11:15:02,2204
3364,2016-07-06 11:30:02,1816
3365,2016-07-06 11:45:03,1438
3366,2016-07-06 12:00:03,1079
3367,2016-07-06 12:15:02,0765
3368,2016-07-06 12:30:02,0434
3369,2016-07-06 12:45:02,0132
3370,2016-07-06 13:00:03,0000
3371,2016-07-06 13:15:03,0000
3372,2016-07-06 13:30:03,0000
3373,2016-07-06 13:45:03,0000
3374,2016-07-06 14:00:02,0000
3375,2016-07-06 14:15:02,0000
3376,2016-07-06 14:30:02,0000
3377,2016-07-06 14:45:02,0000
3378,2016-07-06 15:00:03,0000
3379,2016-07-06 15:15:03,0000
3380,2016-07-06 15:30:02,0000
3381,2016-07-06 15:45:02,0000
3382,2016-07-06 16:00:03,0000
3383,2016-07-06 16:15:03,0000
3384,2016-07-06 16:30:03,0000
3385,2016-07-06 16:45:02,0031
3386,2016-07-06 17:00:02,0192
3387,2016-07-06 17:15:03,0399
3388,2016-07-06 17:30:02,0622
3389,2016-07-06 17:45:02,0882
3390,2016-07-06 18:00:02,1068
3391,2016-07-06 18:15:02,1280
3392,2016-07-06 18:30:03,1485
3393,2016-07-06 18:45:02,1651
3394,2016-07-06 19:00:02,1773
3395,2016-07-06 19:15:02,1891
3396,2016-07-06 19:30:03,2010
3397,2016-07-06 19:45:03,2081
3398,2016-07-06 20:00:02,2182
3399,2016-07-06 20:15:02,2280
3400,2016-07-06 20:30:02,2419
3401,2016-07-06 20:45:02,2549
3402,2016-07-06 21:00:03,2664
3403,2016-07-06 21:15:03,2812
3404,2016-07-06 21:30:03,3043
3405,2016-07-06 21:45:02,3257
3406,2016-07-06 22:00:02,3492
3407,2016-07-06 22:15:02,3815
3408,2016-07-06 22:30:02,4028
3409,2016-07-06 22:45:02,4171
3410,2016-07-06 23:00:02,4178
3411,2016-07-06 23:15:02,4186
3412,2016-07-06 23:30:02,4193
3413,2016-07-06 23:45:03,4200
3414,2016-07-07 00:00:02,4201
3415,2016-07-07 00:15:03,4201
3416,2016-07-07 00:30:02,4204
3417,2016-07-07 00:45:02,4203
3418,2016-07-07 01:00:02,4201
3419,2016-07-07 01:15:02,4203
3420,2016-07-07 01:30:02,4203
3421,2016-07-07 01:45:02,4258
3422,2016-07-07 02:00:02,4242
3423,2016-07-07 02:15:02,4226
3424,2016-07-07 02:30:02,4203
3425,2016-07-07 02:45:02,4202
3426,2016-07-07 03:00:03,4202
3427,2016-07-07 03:15:02,4203
3428,2016-07-07 03:30:02,4203
3429,2016-07-07 03:45:02,4203
3430,2016-07-07 04:00:02,4203
3431,2016-07-07 04:15:03,4203
3432,2016-07-07 04:30:03,4203
3433,2016-07-07 04:45:03,4203
3434,2016-07-07 05:00:02,4203
3435,2016-07-07 05:15:02,4203
3436,2016-07-07 05:30:03,4203
3437,2016-07-07 05:45:03,4203
3438,2016-07-07 06:00:03,4202
3439,2016-07-07 06:15:02,4201
3440,2016-07-07 06:30:02,4201
3441,2016-07-07 06:45:02,4197
3442,2016-07-07 07:00:02,4196
3443,2016-07-07 07:15:03,4196
3444,2016-07-07 07:30:03,4191
3445,2016-07-07 07:45:03,4184
3446,2016-07-07 08:00:03,4183
3447,2016-07-07 08:15:03,4181
3448,2016-07-07 08:30:02,4175
3449,2016-07-07 08:45:02,4161
3450,2016-07-07 09:00:02,4133
3451,2016-07-07 09:15:02,4098
3452,2016-07-07 09:30:02,4035
3453,2016-07-07 09:45:02,3928
3454,2016-07-07 10:00:02,3731
3455,2016-07-07 10:15:02,3508
3456,2016-07-07 10:30:02,3228
3457,2016-07-07 10:45:02,2887
3458,2016-07-07 11:00:02,2569
3459,2016-07-07 11:15:03,2271
3460,2016-07-07 11:30:02,1958
3461,2016-07-07 11:45:03,1690
3462,2016-07-07 12:00:02,1356
3463,2016-07-07 12:15:02,1084
3464,2016-07-07 12:30:02,0814
3465,2016-07-07 12:45:03,0580
3466,2016-07-07 13:00:02,0370
3467,2016-07-07 13:15:02,0192
3468,2016-07-07 13:30:02,0078
3469,2016-07-07 13:45:02,0000
3470,2016-07-07 14:00:02,0000
3471,2016-07-07 14:15:02,0000
3472,2016-07-07 14:30:02,0000
3473,2016-07-07 14:45:03,0000
3474,2016-07-07 15:00:03,0000
3475,2016-07-07 15:15:03,0000
3476,2016-07-07 15:30:03,0000
3477,2016-07-07 15:45:02,0000
3478,2016-07-07 16:00:02,0000
3479,2016-07-07 16:15:02,0124
3480,2016-07-07 16:30:03,0193
3481,2016-07-07 16:45:03,0335
3482,2016-07-07 17:00:02,0516
3483,2016-07-07 17:15:03,0709
3484,2016-07-07 17:30:02,0883
3485,2016-07-07 17:45:02,1037
3486,2016-07-07 18:00:02,1230
3487,2016-07-07 18:15:02,1358
3488,2016-07-07 18:30:02,1483
3489,2016-07-07 18:45:03,1574
3490,2016-07-07 19:00:02,1675
3491,2016-07-07 19:15:02,1815
3492,2016-07-07 19:30:02,1889
3493,2016-07-07 19:45:02,2005
3494,2016-07-07 20:00:03,2094
3495,2016-07-07 20:15:02,2195
3496,2016-07-07 20:30:02,2255
3497,2016-07-07 20:45:02,2342
3498,2016-07-07 21:00:02,2424
3499,2016-07-07 21:15:03,2557
3500,2016-07-07 21:30:02,2715
3501,2016-07-07 21:45:03,2932
3502,2016-07-07 22:00:02,3146
3503,2016-07-07 22:15:02,3456
3504,2016-07-07 22:30:02,3711
3505,2016-07-07 22:45:02,3856
3506,2016-07-07 23:00:03,3918
3507,2016-07-07 23:15:03,3950
3508,2016-07-07 23:30:02,3984
3509,2016-07-07 23:45:02,4027
3510,2016-07-08 00:00:03,4033
3511,2016-07-08 00:15:03,4046
3512,2016-07-08 00:30:03,4061
3513,2016-07-08 00:45:03,4063
3514,2016-07-08 01:00:02,4062
3515,2016-07-08 01:15:03,4061
3516,2016-07-08 01:30:03,4061
3517,2016-07-08 01:45:03,4064
3518,2016-07-08 02:00:03,4064
3519,2016-07-08 02:15:03,4065
3520,2016-07-08 02:30:03,4068
3521,2016-07-08 02:45:03,4067
3522,2016-07-08 03:00:02,4067
3523,2016-07-08 03:15:03,4066
3524,2016-07-08 03:30:03,4067
3525,2016-07-08 03:45:02,4067
3526,2016-07-08 04:00:03,4067
3527,2016-07-08 04:15:03,4066
3528,2016-07-08 04:30:02,4067
3529,2016-07-08 04:45:03,4066
3530,2016-07-08 05:00:02,4066
3531,2016-07-08 05:15:02,4066
3532,2016-07-08 05:30:03,4066
3533,2016-07-08 05:45:03,4066
3534,2016-07-08 06:00:02,4064
3535,2016-07-08 06:15:02,4061
3536,2016-07-08 06:30:02,4055
3537,2016-07-08 06:45:02,4041
3538,2016-07-08 07:00:02,4021
3539,2016-07-08 07:15:02,3985
3540,2016-07-08 07:30:03,3948
3541,2016-07-08 07:45:02,3898
3542,2016-07-08 08:00:02,3831
3543,2016-07-08 08:15:02,3759
3544,2016-07-08 08:30:03,3678
3545,2016-07-08 08:45:03,3613
3546,2016-07-08 09:00:03,3509
3547,2016-07-08 09:15:03,3430
3548,2016-07-08 09:30:02,3325
